"clade","gene_tree","num_clade_tips","clade_relationship","clade_length","branch_length_to_clade","max_branching_time_for_ultrametric_clade","outgroup"
"Outgroup",37,"4","monophyletic","1.4374708016","0.2539395889","0.4968469252","Drosophila_melanogaster"
"Outgroup",38,"5","monophyletic","1.246652438","0.1392644519","0.3575686477","Drosophila_melanogaster"
"Outgroup",39,"5","monophyletic","2.5922536359","0.1477549249","0.7726631435","Drosophila_melanogaster"
"Outgroup",41,"5","monophyletic","11.8436514674","0.2615850283","9.7520808601","Drosophila_melanogaster"
"Outgroup",42,"3","monophyletic","4.468588156","0.5433118805","2.4684358129","Drosophila_melanogaster"
"Outgroup",43,"4","monophyletic","1.912233535","0.1378212985","0.7483841142","Drosophila_melanogaster"
"Outgroup",45,"3","monophyletic","1.9558970398","0.4327194883","0.8625929455","Drosophila_melanogaster"
"Outgroup",47,"4","monophyletic","1.5246421435","0.087207925","0.8335900623","Drosophila_melanogaster"
"Outgroup",48,"5","monophyletic","1.1256533885","0.0238840391","0.345300786","Drosophila_melanogaster"
"Outgroup",49,"4","monophyletic","1.1342152269","0.1559187972","0.3723527194","Drosophila_melanogaster"
"Outgroup",50,"4","monophyletic","3.1107367541","0.1366316973","1.0949129766","Drosophila_melanogaster"
"Outgroup",52,"3","monophyletic","4.0169134691","0.2407582297","2.3606404655","Drosophila_melanogaster"
"Outgroup",53,"4","monophyletic","2.3972412199","0.2177120821","1.2696407039","Drosophila_melanogaster"
"Outgroup",54,"4","monophyletic","3.7773027605","0.193036837","1.4769264788","Drosophila_melanogaster"
"Outgroup",55,"4","monophyletic","4.3879941067","0.3202579079","1.4383910537","Drosophila_melanogaster"
"Outgroup",56,"3","monophyletic","2.3102509079","0.0732211037","1.489766924","Drosophila_melanogaster"
"Outgroup",57,"3","monophyletic","2.6396030408","0.297415092","1.1541607856","Drosophila_melanogaster"
"Outgroup",59,"4","monophyletic","1.8186836655","0.2911735042","0.8493633534","Drosophila_melanogaster"
"Outgroup",61,"4","monophyletic","1.5156728859","0.133834403","0.6116652181","Drosophila_melanogaster"
"Outgroup",62,"3","monophyletic","1.0255808834","0.1332236942","0.4373531532","Drosophila_melanogaster"
"Outgroup",63,"4","monophyletic","1.2787554176","0.2253218069","0.6289704028","Drosophila_melanogaster"
"Outgroup",64,"5","monophyletic","4.7170863386","0.3147966408","2.5580875345","Drosophila_melanogaster"
"Outgroup",67,"5","monophyletic","2.7309101224","0.2106516322","0.8543727288","Drosophila_melanogaster"
"Outgroup",68,"4","monophyletic","3.6598134824","0.0979751164","1.9159916072","Drosophila_melanogaster"
"Outgroup",69,"5","monophyletic","4.2429985729","0.1627564454","1.1955597592","Drosophila_melanogaster"
"Outgroup",70,"5","monophyletic","0.8533264778","0.0370233386","0.3244060858","Drosophila_melanogaster"
"Outgroup",72,"3","monophyletic","2.822482142","0.2511117047","1.280523113","Drosophila_melanogaster"
"Outgroup",73,"3","monophyletic","2.4702670252","0.176542598","1.1481051862","Drosophila_melanogaster"
"Outgroup",74,"4","monophyletic","3.6245132525","0.2494531097","1.5796750698","Drosophila_melanogaster"
"Outgroup",75,"5","monophyletic","0.9779786241","0.0535578284","0.2555200935","Drosophila_melanogaster"
"Outgroup",76,"3","monophyletic","1.1228082416","0.5880106407","0.4316701688","Drosophila_melanogaster"
"Outgroup",78,"5","monophyletic","3.2352775536","0.243652862","1.12012477","Drosophila_melanogaster"
"Outgroup",79,"3","monophyletic","2.5450784676","0.3011618724","1.1984477378","Drosophila_melanogaster"
"Outgroup",80,"3","monophyletic","5.5176225099","0.3640640314","2.8164272018","Drosophila_melanogaster"
"Outgroup",81,"5","monophyletic","4.6067853927","0.3343944103","1.3129152647","Drosophila_melanogaster"
"Outgroup",83,"3","monophyletic","5.1145498487","0.6268112046","2.4374147296","Drosophila_melanogaster"
"Outgroup",84,"3","monophyletic","10.102839628","0.8019705489","4.6186096","Drosophila_melanogaster"
"Outgroup",85,"5","monophyletic","1.0693226667","0.2099140465","0.4229575913","Drosophila_melanogaster"
"Outgroup",87,"5","monophyletic","2.9330748933","0.1204184597","0.9397912833","Drosophila_melanogaster"
"Outgroup",88,"5","monophyletic","1.7447525308","0.0628108164","0.6350848568","Drosophila_melanogaster"
"Outgroup",89,"5","monophyletic","1.0095764634","0.1211245881","0.3059277197","Drosophila_melanogaster"
"Outgroup",91,"3","monophyletic","2.6050582908","0.7321640721","1.1704706073","Drosophila_melanogaster"
"Outgroup",92,"5","monophyletic","4.0472763755","0.1109895529","1.2941451623","Drosophila_melanogaster"
"Outgroup",93,"3","monophyletic","3.689603893","0.5330959809","1.8931836218","Drosophila_melanogaster"
"Outgroup",94,"4","monophyletic","2.5194779658","0.2596424141","0.7677452433","Drosophila_melanogaster"
"Outgroup",95,"4","monophyletic","3.156939048","0.2226244221","2.0910807954","Drosophila_melanogaster"
"Outgroup",97,"3","monophyletic","2.0759664904","0.3262742201","0.9041449461","Drosophila_melanogaster"
"Outgroup",98,"4","monophyletic","2.1740539596","0.203548824","0.7927660882","Drosophila_melanogaster"
"Outgroup",99,"4","monophyletic","1.2824350519","0.0953564137","0.5575018554","Drosophila_melanogaster"
"Outgroup",101,"3","monophyletic","3.2650905366","0.3738344104","1.547602636","Drosophila_melanogaster"
"Outgroup",102,"5","monophyletic","1.2659383871","0.1031740289","0.3542132103","Drosophila_melanogaster"
"Outgroup",103,"5","monophyletic","0.5163595688","0.025828963","0.1691282422","Drosophila_melanogaster"
"Outgroup",104,"3","monophyletic","0.9691998427","0.1890433343","0.3724798922","Drosophila_melanogaster"
"Outgroup",105,"4","monophyletic","2.1763157458","0.550604905","0.6470584259","Drosophila_melanogaster"
"Outgroup",107,"3","monophyletic","3.06559915","0.3264906793","1.6801600316","Drosophila_melanogaster"
"Outgroup",109,"5","monophyletic","1.0893122455","0.0390261232","0.4941114768","Drosophila_melanogaster"
"Outgroup",110,"5","monophyletic","1.6278957514","0.0879395172","0.4881959364","Drosophila_melanogaster"
"Outgroup",111,"5","monophyletic","3.4921161186","0.2936380958","1.0112238571","Drosophila_melanogaster"
"Outgroup",112,"4","monophyletic","1.7260302635","0.1353042459","0.8147972819","Drosophila_melanogaster"
"Outgroup",113,"4","monophyletic","2.5213581584","0.1739427992","1.0033231235","Drosophila_melanogaster"
"Outgroup",114,"4","monophyletic","3.0729421364","0.1763193659","1.1213782182","Drosophila_melanogaster"
"Outgroup",115,"3","monophyletic","4.1483969664","0.2017293933","2.2671049425","Drosophila_melanogaster"
"Outgroup",116,"5","monophyletic","8.1412907944","0.2367268759","4.7284989206","Drosophila_melanogaster"
